UMAP1	UMAP2	cCRE_type	chrom	start	end	rDHS	length
5.467207	-0.1675532	PLS	chr1	778570	778919	EH38E2776539	349
5.419097	-0.16956136	PLS	chr1	778570	778919	EH38E2776539	349
2.8953114	2.6468136	PLS	chr1	779023	779182	EH38E3951314	159
9.212068	3.9449325	PLS	chr1	826734	826887	EH38E2776553	153
5.379334	-0.44555423	PLS	chr1	827417	827767	EH38E2776555	350
5.383086	-0.4642254	PLS	chr1	827417	827767	EH38E2776555	350
3.8681111	0.48725247	PLS	chr1	904578	904918	EH38E2776597	340
7.721331	4.053563	PLS	chr1	923719	924069	EH38E2776639	350
3.1806378	3.6254778	PLS	chr1	925512	925850	EH38E2776644	338
8.358158	0.13869499	PLS	chr1	959149	959498	EH38E2776701	349
0.6169516	4.8791385	PLS	chr1	960415	960709	EH38E2776705	294
3.597058	5.496826	PLS	chr1	966270	966614	EH38E2776721	344
8.252437	3.2181334	PLS	chr1	999853	1000047	EH38E3951379	194
5.4462943	0.04373278	PLS	chr1	1000068	1000409	EH38E1310345	341
2.7419567	5.8848095	PLS	chr1	1001093	1001298	EH38E2776783	205
0.44804865	6.2027326	dELS	chr1	1004738	1004958	EH38E2776794	220
0.68010974	6.1937037	dELS	chr1	1005002	1005340	EH38E1310357	338
0.6151686	5.699571	dELS	chr1	1005383	1005639	EH38E2776795	256
1.8174757	3.9078538	PLS	chr1	1013282	1013630	EH38E2776806	348
2.5432477	0.776044	PLS	chr1	1019822	1020170	EH38E2776823	348
1.5714641	1.8616145	PLS	chr1	1020193	1020363	EH38E3951388	170
-0.54837257	5.221028	dELS	chr1	1024184	1024500	EH38E2776834	316
2.6024027	-0.21064001	PLS	chr1	1059475	1059823	EH38E2776892	348
11.511356	6.475619	dELS	chr1	1079459	1079809	EH38E2776927	350
10.844787	6.2572794	dELS	chr1	1079868	1080027	EH38E1310453	159
10.379678	6.5373106	dELS	chr1	1080115	1080463	EH38E2776928	348
10.669947	6.7691503	dELS	chr1	1080471	1080665	EH38E3951414	194
11.097129	6.957618	dELS	chr1	1109758	1110101	EH38E2776969	343
8.043945	0.36300266	PLS	chr1	1115929	1116112	EH38E2776981	183
3.8213406	1.9867201	dELS	chr1	1157436	1157782	EH38E2777055	346
3.6216242	3.3825207	dELS	chr1	1157885	1158053	EH38E2777056	168
3.5192494	4.3894296	dELS	chr1	1158135	1158445	EH38E1310547	310
7.00518	3.3204741	dELS	chr1	1185144	1185484	EH38E2777112	340
6.718722	2.1107075	dELS	chr1	1185591	1185829	EH38E1310595	238
7.1399913	1.3986163	dELS	chr1	1201358	1201708	EH38E2777129	350
7.4794736	-0.5079215	PLS	chr1	1231967	1232317	EH38E2777198	350
7.5286584	-0.42809626	PLS	chr1	1231967	1232317	EH38E2777198	350
7.129454	-0.76746535	PLS	chr1	1273760	1274083	EH38E2777265	323
11.049827	6.1052403	dELS	chr1	1293630	1293910	EH38E2777299	280
9.927005	6.6268306	dELS	chr1	1305416	1305583	EH38E2777320	167
9.496564	6.707231	dELS	chr1	1305591	1305900	EH38E2777321	309
5.819543	-0.42961922	PLS	chr1	1307887	1308215	EH38E2777327	328
4.0308137	0.12005095	PLS	chr1	1308334	1308678	EH38E2777328	344
5.6843767	6.742349	dELS	chr1	1315582	1315931	EH38E2777344	349
4.549081	-1.3310182	PLS	chr1	1324574	1324902	EH38E2777357	328
4.5720744	-1.3579233	PLS	chr1	1324574	1324902	EH38E2777357	328
12.437064	6.4467435	dELS	chr1	1344746	1345095	EH38E3951508	349
12.381074	6.355283	dELS	chr1	1345189	1345421	EH38E2777399	232
8.4208765	1.0465813	PLS	chr1	1348975	1349233	EH38E2777409	258
7.292037	0.4205524	PLS	chr1	1349300	1349649	EH38E2777410	349
7.0192995	0.5195518	PLS	chr1	1358420	1358598	EH38E3951513	178
6.5391593	0.14179012	PLS	chr1	1358600	1358946	EH38E2777428	346
8.729193	3.2149923	PLS	chr1	1375017	1375167	EH38E3951519	150
6.580387	4.669133	PLS	chr1	1399285	1399634	EH38E2777478	349
6.524041	4.6526465	PLS	chr1	1399285	1399634	EH38E2777478	349
4.4444213	6.5156994	PLS	chr1	1400363	1400692	EH38E2777481	329
5.940013	6.499486	dELS	chr1	1402467	1402735	EH38E2777486	268
5.4877224	-0.50777656	PLS	chr1	1407146	1407496	EH38E2777492	350
7.9384246	2.4259844	PLS	chr1	1435354	1435538	EH38E2777547	184
4.6915474	0.14290763	PLS	chr1	1435565	1435875	EH38E2777548	310
5.068351	-1.3959591	PLS	chr1	1471490	1471839	EH38E2777578	349
2.7867014	3.9779217	PLS	chr1	1511887	1512233	EH38E2777613	346
1.7974663	3.4717226	PLS	chr1	1512518	1512705	EH38E2777614	187
9.412369	4.172616	PLS	chr1	1573860	1574185	EH38E1311014	325
8.081808	1.7946458	PLS	chr1	1574536	1574736	EH38E2777699	200
5.276596	-0.49370694	PLS	chr1	1574750	1575097	EH38E2777700	347
7.544341	5.0553117	dELS	chr1	1597397	1597691	EH38E2777714	294
5.1454954	0.21634816	PLS	chr1	1599988	1600337	EH38E2777721	349
5.1612616	0.18384731	PLS	chr1	1599988	1600337	EH38E2777721	349
9.0088215	2.8556738	PLS	chr1	1615191	1615541	EH38E2777745	350
6.060387	-1.1728432	PLS	chr1	1615639	1615956	EH38E2777746	317
6.069146	-1.1770973	PLS	chr1	1615639	1615956	EH38E2777746	317
2.3448029	2.7016344	PLS	chr1	1616075	1616404	EH38E2777747	329
5.164311	-0.28181073	PLS	chr1	1658958	1659308	EH38E2777804	350
11.435855	5.6352363	dELS	chr1	1686233	1686538	EH38E2777846	305
8.184231	2.0364845	PLS	chr1	1692612	1692926	EH38E2777853	314
11.967475	7.349865	dELS	chr1	1715058	1715404	EH38E1311125	346
8.269267	4.25482	PLS	chr1	1724269	1724619	EH38E2777867	350
8.242881	4.280544	PLS	chr1	1724269	1724619	EH38E2777867	350
7.617059	3.6665611	PLS	chr1	1745711	1745959	EH38E2777880	248
5.4789033	3.9682364	PLS	chr1	1745964	1746197	EH38E2777881	233
12.4582205	7.170594	dELS	chr1	1758767	1759115	EH38E2777903	348
12.502037	7.171223	dELS	chr1	1759153	1759320	EH38E2777904	167
11.935017	5.880279	dELS	chr1	1775971	1776127	EH38E2777927	156
8.62246	4.1590953	PLS	chr1	1778297	1778638	EH38E2777932	341
5.8736567	4.872656	PLS	chr1	1778801	1779150	EH38E1311174	349
6.980283	5.794086	dELS	chr1	1782067	1782369	EH38E2777937	302
7.467537	5.8359685	dELS	chr1	1782490	1782835	EH38E2777938	345
