chrom	start	end	rDHS	cCRE_type
chr1	138917	139112	EH38E3951286	pELS
chr1	778570	778919	EH38E2776539	PLS
chr1	779023	779182	EH38E3951314	PLS
chr1	825846	826068	EH38E2776552	pELS
chr1	826734	826887	EH38E2776553	PLS
chr1	827417	827767	EH38E2776555	PLS
chr1	904229	904530	EH38E2776596	pELS
chr1	904578	904918	EH38E2776597	PLS
chr1	923719	924069	EH38E2776639	PLS
chr1	925512	925850	EH38E2776644	PLS
chr1	959149	959498	EH38E2776701	PLS
chr1	960415	960709	EH38E2776705	PLS
chr1	960802	961060	EH38E2776706	pELS
chr1	961176	961476	EH38E2776707	pELS
chr1	966094	966261	EH38E2776720	pELS
chr1	966270	966614	EH38E2776721	PLS
chr1	966648	966798	EH38E1310308	pELS
chr1	966827	967177	EH38E2776722	pELS
chr1	967183	967419	EH38E2776723	pELS
chr1	999226	999409	EH38E3951377	pELS
chr1	999476	999744	EH38E3951378	pELS
chr1	999853	1000047	EH38E3951379	PLS
chr1	1000068	1000409	EH38E1310345	PLS
chr1	1000500	1000670	EH38E2776782	pELS
chr1	1000719	1001056	EH38E1310347	pELS
chr1	1001093	1001298	EH38E2776783	PLS
chr1	1001371	1001642	EH38E2776784	pELS
chr1	1001651	1001811	EH38E2776785	pELS
chr1	1001824	1002150	EH38E2776786	pELS
chr1	1002168	1002330	EH38E2776787	pELS
chr1	1004738	1004958	EH38E2776794	dELS
chr1	1005002	1005340	EH38E1310357	dELS
chr1	1005383	1005639	EH38E2776795	dELS
chr1	1013282	1013630	EH38E2776806	PLS
chr1	1013683	1013834	EH38E3951384	pELS
chr1	1013859	1014071	EH38E3951385	pELS
chr1	1014098	1014290	EH38E3951386	pELS
chr1	1019084	1019305	EH38E2776821	pELS
chr1	1019374	1019719	EH38E2776822	pELS
chr1	1019822	1020170	EH38E2776823	PLS
chr1	1020193	1020363	EH38E3951388	PLS
chr1	1020507	1020767	EH38E2776825	pELS
chr1	1020790	1020966	EH38E2776826	pELS
chr1	1021513	1021737	EH38E3951389	pELS
chr1	1024184	1024500	EH38E2776834	dELS
chr1	1058763	1058927	EH38E3951409	pELS
chr1	1059038	1059214	EH38E2776890	pELS
chr1	1059252	1059448	EH38E2776891	pELS
chr1	1059475	1059823	EH38E2776892	PLS
chr1	1059836	1059989	EH38E2776893	pELS
chr1	1063938	1064125	EH38E1310430	pELS
chr1	1064188	1064536	EH38E3951411	pELS
chr1	1079459	1079809	EH38E2776927	dELS
chr1	1079868	1080027	EH38E1310453	dELS
chr1	1080115	1080463	EH38E2776928	dELS
chr1	1080471	1080665	EH38E3951414	dELS
chr1	1109758	1110101	EH38E2776969	dELS
chr1	1115309	1115517	EH38E2776979	pELS
chr1	1115929	1116112	EH38E2776981	PLS
chr1	1116115	1116465	EH38E2776982	pELS
chr1	1135404	1135671	EH38E2777023	pELS
chr1	1157436	1157782	EH38E2777055	dELS
chr1	1157885	1158053	EH38E2777056	dELS
chr1	1158135	1158445	EH38E1310547	dELS
chr1	1185144	1185484	EH38E2777112	dELS
chr1	1185591	1185829	EH38E1310595	dELS
chr1	1201358	1201708	EH38E2777129	dELS
chr1	1230698	1231014	EH38E2777195	pELS
chr1	1231189	1231368	EH38E2777196	pELS
chr1	1231471	1231625	EH38E1310647	pELS
chr1	1231676	1231893	EH38E2777197	pELS
chr1	1231967	1232317	EH38E2777198	PLS
chr1	1232422	1232654	EH38E2777199	pELS
chr1	1272961	1273212	EH38E3951489	pELS
chr1	1273245	1273471	EH38E3951490	pELS
chr1	1273760	1274083	EH38E2777265	PLS
chr1	1274087	1274288	EH38E2777266	pELS
chr1	1274354	1274534	EH38E2777267	pELS
chr1	1293630	1293910	EH38E2777299	dELS
chr1	1304705	1305052	EH38E2777319	pELS
chr1	1305416	1305583	EH38E2777320	dELS
chr1	1305591	1305900	EH38E2777321	dELS
chr1	1306124	1306380	EH38E2777322	pELS
chr1	1306545	1306793	EH38E3951496	pELS
chr1	1306849	1307043	EH38E2777324	pELS
chr1	1307065	1307242	EH38E3951497	pELS
chr1	1307290	1307446	EH38E3951498	pELS
chr1	1307495	1307760	EH38E2777326	pELS
chr1	1307887	1308215	EH38E2777327	PLS
chr1	1308334	1308678	EH38E2777328	PLS
chr1	1308768	1308933	EH38E2777329	pELS
chr1	1308940	1309125	EH38E2777330	pELS
chr1	1309148	1309462	EH38E2777331	pELS
chr1	1309573	1309801	EH38E2777332	pELS
chr1	1309840	1309991	EH38E2777333	pELS
chr1	1315582	1315931	EH38E2777344	dELS
chr1	1324317	1324486	EH38E2777356	pELS
chr1	1324574	1324902	EH38E2777357	PLS
chr1	1324907	1325108	EH38E2777358	pELS
chr1	1325170	1325394	EH38E2777359	pELS
chr1	1325447	1325657	EH38E3951502	pELS
chr1	1344746	1345095	EH38E3951508	dELS
chr1	1345189	1345421	EH38E2777399	dELS
chr1	1347704	1347907	EH38E2777406	pELS
chr1	1347959	1348305	EH38E3951510	pELS
chr1	1348545	1348789	EH38E2777408	pELS
chr1	1348975	1349233	EH38E2777409	PLS
chr1	1349300	1349649	EH38E2777410	PLS
chr1	1349799	1350029	EH38E2777411	pELS
chr1	1357181	1357372	EH38E2777425	pELS
chr1	1358228	1358419	EH38E1310823	pELS
chr1	1358420	1358598	EH38E3951513	PLS
chr1	1358600	1358946	EH38E2777428	PLS
chr1	1359057	1359257	EH38E2777429	pELS
chr1	1374187	1374351	EH38E2777453	pELS
chr1	1374386	1374611	EH38E2777454	pELS
chr1	1374618	1374966	EH38E3951518	pELS
chr1	1375017	1375167	EH38E3951519	PLS
chr1	1375250	1375598	EH38E2777455	pELS
chr1	1376126	1376285	EH38E3951520	pELS
chr1	1376325	1376650	EH38E3951521	pELS
chr1	1397961	1398140	EH38E1310858	pELS
chr1	1398201	1398439	EH38E1310859	pELS
chr1	1398499	1398704	EH38E3951532	pELS
chr1	1399285	1399634	EH38E2777478	PLS
chr1	1399744	1399916	EH38E2777479	pELS
chr1	1399985	1400245	EH38E3951533	pELS
chr1	1400363	1400692	EH38E2777481	PLS
chr1	1400843	1401183	EH38E2777482	pELS
chr1	1402467	1402735	EH38E2777486	dELS
chr1	1406077	1406276	EH38E1310872	pELS
chr1	1406437	1406701	EH38E3951538	pELS
chr1	1406748	1406948	EH38E2777490	pELS
chr1	1406955	1407126	EH38E2777491	pELS
chr1	1407146	1407496	EH38E2777492	PLS
chr1	1407545	1407697	EH38E3951539	pELS
chr1	1407726	1408036	EH38E3951540	pELS
chr1	1408117	1408272	EH38E2777495	pELS
chr1	1432978	1433183	EH38E2777540	pELS
chr1	1433204	1433554	EH38E2777541	pELS
chr1	1433562	1433770	EH38E2777542	pELS
chr1	1433832	1434182	EH38E2777543	pELS
chr1	1434339	1434680	EH38E2777544	pELS
chr1	1435088	1435328	EH38E2777546	pELS
chr1	1435354	1435538	EH38E2777547	PLS
chr1	1435565	1435875	EH38E2777548	PLS
chr1	1435879	1436054	EH38E2777549	pELS
chr1	1470723	1470909	EH38E2777575	pELS
chr1	1470975	1471283	EH38E2777576	pELS
chr1	1471284	1471485	EH38E2777577	pELS
chr1	1471490	1471839	EH38E2777578	PLS
chr1	1472150	1472390	EH38E3951565	pELS
chr1	1472643	1472843	EH38E2777580	pELS
chr1	1472896	1473193	EH38E3951566	pELS
chr1	1504844	1505193	EH38E1310960	pELS
chr1	1505285	1505486	EH38E3951587	pELS
chr1	1505528	1505817	EH38E2777602	pELS
chr1	1510990	1511336	EH38E3951592	pELS
chr1	1511547	1511859	EH38E2777612	pELS
chr1	1511887	1512233	EH38E2777613	PLS
chr1	1512518	1512705	EH38E2777614	PLS
chr1	1573488	1573754	EH38E2777697	pELS
chr1	1573860	1574185	EH38E1311014	PLS
chr1	1574276	1574444	EH38E2777698	pELS
chr1	1574536	1574736	EH38E2777699	PLS
chr1	1574750	1575097	EH38E2777700	PLS
chr1	1575209	1575557	EH38E2777701	pELS
chr1	1597397	1597691	EH38E2777714	dELS
chr1	1599988	1600337	EH38E2777721	PLS
chr1	1613769	1613992	EH38E2777741	pELS
