chrom	start	end	rDHS	cCRE_type	gene_id	strand
chr1	778570	778919	EH38E2776539	PLS	ENSG00000228327.4	
chr1	778570	778919	EH38E2776539	PLS	ENSG00000237491.10	
chr1	779023	779182	EH38E3951314	PLS	ENSG00000237491.10	
chr1	826734	826887	EH38E2776553	PLS	ENSG00000228794.11	
chr1	827417	827767	EH38E2776555	PLS	ENSG00000225880.5	
chr1	827417	827767	EH38E2776555	PLS	ENSG00000228794.11	
chr1	904578	904918	EH38E2776597	PLS	ENSG00000272438.1	
chr1	923719	924069	EH38E2776639	PLS	ENSG00000187634.13	+
chr1	925512	925850	EH38E2776644	PLS	ENSG00000187634.13	+
chr1	959149	959498	EH38E2776701	PLS	ENSG00000188976.11	-
chr1	960415	960709	EH38E2776705	PLS	ENSG00000187961.15	+
chr1	966270	966614	EH38E2776721	PLS	ENSG00000187583.11	+
chr1	999853	1000047	EH38E3951379	PLS	ENSG00000188290.11	-
chr1	1000068	1000409	EH38E1310345	PLS	ENSG00000188290.11	-
chr1	1001093	1001298	EH38E2776783	PLS	ENSG00000187608.10	+
chr1	1004738	1004958	EH38E2776794	dELS		
chr1	1005002	1005340	EH38E1310357	dELS		
chr1	1005383	1005639	EH38E2776795	dELS		
chr1	1013282	1013630	EH38E2776806	PLS	ENSG00000187608.10	+
chr1	1019822	1020170	EH38E2776823	PLS	ENSG00000188157.15	
chr1	1020193	1020363	EH38E3951388	PLS	ENSG00000188157.15	
chr1	1024184	1024500	EH38E2776834	dELS		
chr1	1059475	1059823	EH38E2776892	PLS	ENSG00000217801.11	
chr1	1079459	1079809	EH38E2776927	dELS		
chr1	1079868	1080027	EH38E1310453	dELS		
chr1	1080115	1080463	EH38E2776928	dELS		
chr1	1080471	1080665	EH38E3951414	dELS		
chr1	1109758	1110101	EH38E2776969	dELS		
chr1	1115929	1116112	EH38E2776981	PLS	ENSG00000131591.18	-
chr1	1157436	1157782	EH38E2777055	dELS		
chr1	1157885	1158053	EH38E2777056	dELS		
chr1	1158135	1158445	EH38E1310547	dELS		
chr1	1185144	1185484	EH38E2777112	dELS		
chr1	1185591	1185829	EH38E1310595	dELS		
chr1	1201358	1201708	EH38E2777129	dELS		
chr1	1231967	1232317	EH38E2777198	PLS	ENSG00000078808.19	
chr1	1231967	1232317	EH38E2777198	PLS	ENSG00000176022.7	+
chr1	1273760	1274083	EH38E2777265	PLS	ENSG00000160087.21	-
chr1	1293630	1293910	EH38E2777299	dELS		
chr1	1305416	1305583	EH38E2777320	dELS		
chr1	1305591	1305900	EH38E2777321	dELS		
chr1	1307887	1308215	EH38E2777327	PLS	ENSG00000131584.19	-
